"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"267",9,"Greg Dulcich",MIA,"TE32","6","4 out of 5","4 out of 5","5 out of 5 stars","-58"
"268",9,"Chimere Dike",TEN,"WR94","9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"269",9,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-23"
"270",9,"Kirk Cousins",LV,"QB33","13","2 out of 5","4 out of 5","1 out of 5 stars","-14"
"271",9,"Chris Bell",MIA,"WR95","6","4 out of 5","4 out of 5","3 out of 5 stars","-22"
"272",9,"Malik Davis",DAL,"RB80","14","-","-","4 out of 5 stars","+52"
"273",9,"Darius Slayton",NYG,"WR96","8","3 out of 5","4 out of 5","4 out of 5 stars","-"
"274",9,"DJ Giddens",IND,"RB81","13","2 out of 5","4 out of 5","4 out of 5 stars","-"
"275",9,"Christian Kirk",SF,"WR97","8","3 out of 5","4 out of 5","2 out of 5 stars","+3"
"276",9,"Deshaun Watson",CLE,"QB34","11","2 out of 5","5 out of 5","4 out of 5 stars","-17"
"277",9,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-15"
"278",9,"Xavier Legette",CAR,"WR98","5","2 out of 5","4 out of 5","2 out of 5 stars","-"
"279",9,"Caleb Douglas",MIA,"WR99","6","2 out of 5","4 out of 5","3 out of 5 stars","-56"
"280",9,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-78"
"281",9,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","-"
"282",9,"Seth McGowan",IND,"RB82","13","4 out of 5","4 out of 5","4 out of 5 stars","+45"
"283",9,"Elijah Sarratt",BAL,"WR100","13","4 out of 5","4 out of 5","4 out of 5 stars","-"
"284",9,"Kendre Miller",NO,"RB83","8","2 out of 5","4 out of 5","3 out of 5 stars","-"
"285",9,"Devin Neal",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","-"
