Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
250.0,Oronde Gadsden,TE,48.00,38.30,9.70
250.0,Tommy Tremble,TE,26.00,37.30,-11.30
250.0,Ben Sinnott,TE,44.40,37.10,7.30
250.0,Luke Musgrave,TE,32.60,36.70,-4.10
250.0,Gunnar Helm,TE,35.00,36.20,-1.20
250.0,Emanuel Wilson,RB,60.80,35.60,25.20
250.0,Kendrick Bourne,WR,3.70,34.70,-31.00
250.0,AJ Dillon,RB,26.20,34.50,-8.30
250.0,Zay Jones,WR,25.50,34.10,-8.60
250.0,Brock Wright,TE,18.00,33.90,-15.90
250.0,Robert Woods,WR,24.00,33.60,-9.60
250.0,Kalif Raymond,WR,27.80,32.00,-4.20
250.0,Cade Stover,TE,47.60,31.80,15.80
250.0,Jeremy Ruckert,TE,22.50,30.90,-8.40
250.0,Elijah Moore,WR,22.40,30.70,-8.30
250.0,KhaDarel Hodge,WR,31.00,30.30,0.70
250.0,Xavier Hutchinson,WR,3.10,30.20,-27.10
250.0,Jalen Royals,WR,50.00,29.30,20.70
250.0,Adam Trautman,TE,23.50,28.10,-4.60
250.0,Audric Estime,RB,3.10,28.00,-24.90
250.0,Luke Schoonmaker,TE,27.50,27.60,-0.10
250.0,Charlie Woerner,TE,20.80,27.60,-6.80
250.0,Jalin Hyatt,WR,29.00,27.10,1.90
250.0,Isaiah Davis,RB,28.50,27.00,1.50
250.0,Daniel Bellinger,TE,25.20,26.30,-1.10
250.0,Julian Hill,TE,25.00,25.50,-0.50
250.0,Chris Brooks,RB,23.30,25.40,-2.10
250.0,Grant Calcaterra,TE,20.50,25.30,-4.80
250.0,Casey Washington,WR,24.00,25.20,-1.20
250.0,Malachi Corley,WR,28.60,24.70,3.90
250.0,Josh Whyle,TE,10.00,24.20,-14.20
250.0,Jake Bobo,WR,3.30,24.00,-20.70
250.0,Jaylin Lane,WR,57.10,24.00,33.10
250.0,Pierre Strong,RB,5.00,23.90,-18.90
250.0,Payne Durham,TE,17.80,23.80,-6.00
250.0,Arian Smith,WR,33.20,23.40,9.80
250.0,Jamari Thrash,WR,8.10,23.30,-15.20
250.0,Johnny Mundt,TE,22.60,23.30,-0.70
250.0,Emari Demercado,RB,15.90,23.20,-7.30
250.0,Clyde EdwardsHelaire,RB,5.70,23.10,-17.40
250.0,Elijah Higgins,TE,29.00,23.10,5.90
250.0,Kimani Vidal,RB,4.60,22.80,-18.20
250.0,Darnell Washington,TE,25.70,22.80,2.90
250.0,Tyler Goodson,RB,13.90,22.40,-8.50
250.0,Savion Williams,WR,24.60,22.00,2.60
250.0,Xavier Restrepo,WR,21.70,21.70,0.00
250.0,Sincere McCormick,RB,23.40,21.30,2.10
250.0,Colby Parkinson,TE,21.00,21.00,0.00
250.0,DeAndre Carter,WR,7.60,20.40,-12.80
250.0,Ty Chandler,RB,28.80,20.20,8.60
250.0,Olamide Zaccheaus,WR,23.50,19.60,3.90
250.0,Mack Hollins,WR,22.50,19.20,3.30
250.0,Jeremy McNichols,RB,17.90,19.00,-1.10
250.0,Mason Rudolph,QB,12.10,18.80,-6.70
250.0,Drew Ogletree,TE,5.90,18.40,-12.50
250.0,Dameon Pierce,RB,40.90,18.30,22.60
250.0,Kenny Pickett,QB,43.46,18.20,25.26
250.0,Tylan Wallace,WR,17.90,17.60,0.30
250.0,Kalel Mullings,RB,25.90,17.30,8.60
250.0,Damien Martinez,RB,26.70,17.30,9.40
250.0,Pharaoh Brown,TE,7.50,17.10,-9.60
250.0,Jimmy Garoppolo,QB,16.48,16.50,-0.02
250.0,Jameis Winston,QB,29.60,16.40,13.20
250.0,Malik Willis,QB,14.54,16.20,-1.66
250.0,Drew Sample,TE,20.70,16.00,4.70
250.0,Craig Reynolds,RB,6.60,15.70,-9.10
250.0,Sterling Shepard,WR,8.40,15.70,-7.30
250.0,KeAndre LambertSmith,WR,25.30,14.40,10.90
250.0,Cedrick Wilson,WR,3.80,14.40,-10.60
250.0,Lucas Krull,TE,4.80,14.40,-9.60
250.0,Brevyn SpannFord,TE,20.50,14.30,6.20
250.0,Quintin Morris,TE,2.90,14.20,-11.30
250.0,Hunter Long,TE,2.90,14.00,-11.10
250.0,Travis Homer,RB,4.70,13.80,-9.10
250.0,Bo Melton,WR,25.20,13.80,11.40
250.0,Devontez Walker,WR,20.60,13.20,7.40
250.0,Marcus Mariota,QB,14.10,13.10,1.00
250.0,Devin Culp,TE,17.70,13.10,4.60
250.0,Charlie Kolar,TE,6.40,12.80,-6.40
250.0,Blake Whiteheart,TE,3.00,12.50,-9.50
250.0,Ronnie Rivers,RB,1.60,12.40,-10.80
250.0,John Bates,TE,17.40,12.30,5.10
250.0,Mac Jones,QB,12.14,12.20,-0.06
250.0,Carson Steele,RB,4.80,12.20,-7.40
250.0,Joshua Dobbs,QB,13.80,12.10,1.70
250.0,Tyrod Taylor,QB,23.62,11.90,11.72
250.0,John Metchie,WR,10.70,11.90,-1.20
250.0,Zach Wilson,QB,12.40,11.80,0.60
250.0,Tip Reiman,TE,7.40,11.80,-4.40
250.0,Malik Heath,WR,3.50,11.70,-8.20
250.0,Ian Thomas,TE,4.40,11.50,-7.10
250.0,Mitchell Evans,TE,9.00,11.30,-2.30
250.0,Jake Browning,QB,13.06,11.20,1.86
250.0,Luke Farrell,TE,8.50,11.20,-2.70
250.0,Stone Smartt,TE,4.60,10.90,-6.30
250.0,Tommy Mellott,WR,2.60,10.80,-8.20
250.0,Dare Ogunbowale,RB,8.10,10.70,-2.60
250.0,Aidan OConnell,QB,10.18,10.60,-0.42
250.0,Jackson Hawes,TE,6.20,10.60,-4.40
250.0,Jacoby Brissett,QB,12.32,10.50,1.82
250.0,Julius Chestnut,RB,1.90,10.40,-8.50
250.0,Jordan James,RB,2.90,10.30,-7.40
